avatar,country,countryCode,date,isVerified,position,productAsin,ratingScore,reviewDescription,reviewImages/0,reviewImages/1,reviewImages/2,reviewImages/3,reviewImages/4,reviewImages/5,reviewImages/6,reviewImages/7,reviewImages/8,reviewReaction,reviewTitle,reviewUrl,reviewedIn,username,variant
https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,United States,,2023-01-08,TRUE,1,B092VB7Q5N,5,I liked it very much especially the gold and silver mix so I can wear it with my gold and silver jewelry,,,,,,,,,,,Very pretty ring,https://www.amazon.com/gp/customer-reviews/R32HY4DWQ9T889/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B092V971D5,"Reviewed in the United States on January 8, 2023",Linda Spinasanta,Ring Size: 8
https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,United States,,2023-01-11,TRUE,2,B092VB7Q5N,5,Just as described and fast shipping,,,,,,,,,,,Very well made,https://www.amazon.com/gp/customer-reviews/R6DD69V741N80/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B092V971D5,"Reviewed in the United States on January 11, 2023",Amazon Customer,Ring Size: 5
https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,United States,,2022-12-08,TRUE,3,B092VB7Q5N,5,Wonderful precious wonderful anniversary / engagement ring,,,,,,,,,,,Amazing,https://www.amazon.com/gp/customer-reviews/RY28UF6XQLV1T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B092V971D5,"Reviewed in the United States on December 8, 2022",marcell,Ring Size: 6
https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,United States,,2022-09-23,TRUE,4,B092VB7Q5N,5,Got this for my wife and she really likes it. It's a beautiful ring,,,,,,,,,,,Beautiful,https://www.amazon.com/gp/customer-reviews/R1QOXY6YJ02J0J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B092V971D5,"Reviewed in the United States on September 23, 2022",Craig,Ring Size: 7
https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,United States,,2022-03-14,TRUE,5,B092VB7Q5N,5,The ring was exactly as described. I accidentally ordered the wrong size. I contacted the company and they exchanged it immediately and sent a return postage envelope for my return. They answered my email within a couple of days and I had my new ring within a week. I highly recommend the company and the merchandise quality was very satisfactory.,,,,,,,,,,2 people found this helpful,Great company,https://www.amazon.com/gp/customer-reviews/R2B5UXFZG9Y548/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B092V971D5,"Reviewed in the United States on March 14, 2022",Valerie,Ring Size: 7
https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,United States,,2022-08-29,TRUE,6,B092VB7Q5N,5,"This ring is gorgeous, and my wife loves it",,,,,,,,,,,Beautiful Ring anyone can afford,https://www.amazon.com/gp/customer-reviews/R2JSO9RO4GHR42/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B092V971D5,"Reviewed in the United States on August 29, 2022",Bird Man,Ring Size: 8
https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,United States,,2022-04-30,TRUE,7,B092VB7Q5N,5,I gave this ring to my daughter for her birthday and she absolutely loves it. It matches her engagement ring (2tone). I say buy it if you can.,,,,,,,,,,One person found this helpful,Absolutely beautiful I so recommend this ring,https://www.amazon.com/gp/customer-reviews/R7MLX04TJTBX9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B092V971D5,"Reviewed in the United States on April 30, 2022",Cathy,Ring Size: 7
https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,United States,,2023-01-24,TRUE,8,B092VB7Q5N,1,"I have returned the ring because I was very dissappointed in the appearance. The ring looked very dull, tarnished. It looked used and something that I would not want for myself. I bought it as a gift for my niece but I just couldn't bring myself to give it to her.",,,,,,,,,,One person found this helpful,Quality and appearance,https://www.amazon.com/gp/customer-reviews/R21GRNKFOVR3CY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B092V971D5,"Reviewed in the United States on January 24, 2023",Linda J Owens,Ring Size: 9
https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,United States,,2022-05-21,TRUE,9,B092VB7Q5N,1,It was a very beautiful ring as described but looked already worn.,https://m.media-amazon.com/images/I/611uIUmJMbL._SY88.jpg,https://m.media-amazon.com/images/I/61YRQsq-7LL._SY88.jpg,,,,,,,,2 people found this helpful,It was received slightly tarnished,https://www.amazon.com/gp/customer-reviews/RG1VKFGPHO1OY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B092V971D5,"Reviewed in the United States on May 21, 2022",Devin SokolDevin Sokol,Ring Size: 8
https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,United States,,2022-05-01,TRUE,10,B092VB7Q5N,5,I love it! I wear it everyday day!,,,,,,,,,,One person found this helpful,Classy!,https://www.amazon.com/gp/customer-reviews/R3U9LBLP7RIJV8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B092V971D5,"Reviewed in the United States on May 1, 2022",Roberta Castner,Ring Size: 6
